Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16377868k(11542508k free), swap 30009356k(24287972k free)
CommandLine flags: -XX:InitialHeapSize=33554432 -XX:MaxHeapSize=33554432 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-01-22T16:58:55.074+0800: 0.189: [GC (Allocation Failure) [PSYoungGen: 8704K->1008K(9728K)] 8704K->1524K(31744K), 0.0014127 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.124+0800: 0.240: [GC (Allocation Failure) [PSYoungGen: 9712K->992K(9728K)] 10228K->2013K(31744K), 0.0012864 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.192+0800: 0.307: [GC (Allocation Failure) [PSYoungGen: 9696K->1008K(9728K)] 10717K->2651K(31744K), 0.0012141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.230+0800: 0.345: [GC (Allocation Failure) [PSYoungGen: 9712K->1024K(9728K)] 11355K->3133K(31744K), 0.0018677 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.295+0800: 0.410: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 11837K->3619K(31744K), 0.0014957 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.321+0800: 0.437: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 12323K->3869K(31744K), 0.0013871 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.346+0800: 0.461: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 12573K->4324K(31744K), 0.0014127 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.368+0800: 0.484: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 13028K->4739K(31744K), 0.0013771 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.393+0800: 0.508: [GC (GCLocker Initiated GC) [PSYoungGen: 9728K->1024K(9728K)] 13443K->5276K(31744K), 0.0014822 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.416+0800: 0.531: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 13990K->5874K(31744K), 0.0014351 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.437+0800: 0.553: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 14578K->6492K(31744K), 0.0014192 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.459+0800: 0.574: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 15196K->6824K(31744K), 0.0015337 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.480+0800: 0.595: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 15528K->7172K(31744K), 0.0015553 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.503+0800: 0.618: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 15876K->7464K(31744K), 0.0015846 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.519+0800: 0.634: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 16168K->7888K(31744K), 0.0016595 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.540+0800: 0.655: [GC (Allocation Failure) [PSYoungGen: 9728K->1008K(9728K)] 16592K->8486K(31744K), 0.0017346 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.560+0800: 0.675: [GC (Allocation Failure) [PSYoungGen: 9712K->1008K(9728K)] 17190K->8817K(31744K), 0.0011375 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.581+0800: 0.696: [GC (Allocation Failure) [PSYoungGen: 9712K->992K(9728K)] 17521K->9129K(31744K), 0.0014047 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.599+0800: 0.714: [GC (Allocation Failure) [PSYoungGen: 9696K->1008K(9728K)] 17833K->9572K(31744K), 0.0014790 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.618+0800: 0.733: [GC (Allocation Failure) [PSYoungGen: 9712K->992K(9728K)] 18276K->9876K(31744K), 0.0016503 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.635+0800: 0.750: [GC (Allocation Failure) [PSYoungGen: 9696K->993K(9728K)] 18580K->10308K(31744K), 0.0016643 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.659+0800: 0.774: [GC (Allocation Failure) [PSYoungGen: 9697K->1024K(9728K)] 19012K->10712K(31744K), 0.0015556 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:55.680+0800: 0.795: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 19416K->11439K(31744K), 0.0018055 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
